Row ID;Row Name;slot0;slot1;slot2;slot3;slot4;slot5;slot6;slot7;slot8;slot9;slot10;slot11;slot12;slot13;slot14;slot15;slot16;slot17;slot18;slot19;slot20;slot21;slot22;slot23;slot24;slot25;slot26;slot27;slot28;slot29;slot30;slot31;slot32;slot33;slot34;slot35;slot36;slot37;slot38;slot39;slot40;slot41;slot42;slot43;slot44;slot45;slot46;slot47;slot48;slot49;slot50;slot51;slot52;slot53;slot54;slot55;slot56;slot57;slot58;slot59;slot60;slot61;slot62;slot63;slot64;slot65;slot66;slot67;slot68;slot69;slot70;slot71;slot72;slot73;slot74;slot75;slot76;slot77;slot78;slot79;slot80;slot81;slot82;slot83;slot84;slot85;slot86;slot87;slot88;slot89;slot90;slot91;slot92;slot93;slot94;slot95;slot96;slot97;slot98;slot99
604238022;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;
604238023;;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;1;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;1;0;0;1;0;1;
604238024;;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0;0;0;1;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;
604238025;;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;1;0;0;0;1;1;1;0;0;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;1;1;0;
604238026;;0;0;1;1;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;1;1;1;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;
604238027;;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0;1;0;1;1;0;0;0;0;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;1;0;1;1;0;1;1;1;1;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;0;
604238028;;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;1;1;0;0;1;1;0;0;0;
604239000;;1;0;0;1;0;1;0;1;1;1;1;1;0;1;1;1;1;0;1;0;1;1;0;0;1;1;1;0;0;1;1;1;1;0;0;1;0;1;1;1;1;0;1;1;1;0;0;0;1;1;0;1;0;1;1;1;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0;1;1;0;1;1;1;1;1;0;1;0;0;0;0;1;1;0;1;0;1;0;0;1;
604239001;;1;0;0;0;0;0;1;0;1;0;0;1;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1;0;1;1;1;0;0;0;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;0;1;0;1;1;0;1;1;1;0;1;0;1;0;0;1;1;1;1;0;1;0;0;0;0;0;1;1;1;1;0;0;
604239002;;1;0;1;1;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;1;1;1;0;1;0;0;0;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;1;1;1;0;1;0;1;0;0;1;0;0;0;0;1;0;1;1;0;0;1;1;1;0;1;1;0;0;0;0;1;1;0;1;1;0;1;1;1;1;0;0;1;0;0;0;
604239003;;1;0;1;0;1;1;1;0;0;0;1;0;1;0;1;1;0;0;1;0;0;0;1;0;0;0;1;1;1;0;0;0;1;1;1;0;1;0;1;1;0;1;0;1;0;1;0;1;0;1;1;0;1;1;0;0;0;1;0;1;1;1;0;0;1;1;1;0;1;1;1;0;1;0;0;0;1;1;1;0;1;0;0;0;1;0;0;1;1;1;0;0;0;1;0;1;1;1;1;0;
604239004;;0;1;1;1;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;0;1;1;0;0;0;1;1;1;0;0;0;0;1;1;0;1;1;0;1;0;0;1;0;1;0;1;1;1;0;0;0;0;1;1;1;1;1;0;1;1;0;0;0;0;1;1;0;1;1;1;1;0;0;0;1;0;1;0;0;0;0;0;1;1;1;0;1;1;0;1;0;0;0;0;1;1;1;
604239005;;0;1;0;0;1;0;0;0;0;1;1;0;1;0;0;1;0;1;1;1;1;1;1;1;1;1;0;1;0;0;0;1;1;0;1;0;1;1;0;0;0;0;0;1;0;1;0;1;1;1;0;0;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;1;1;0;0;1;1;0;0;0;1;1;1;1;1;0;0;1;1;0;
604239006;;0;1;1;1;0;1;0;1;1;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;1;1;1;0;0;1;1;0;1;0;1;1;0;0;0;0;1;0;0;0;1;0;1;1;0;1;1;0;1;1;0;0;0;1;0;0;1;1;0;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;1;1;
604239007;;0;1;0;0;1;1;1;1;0;0;0;1;1;1;0;0;1;1;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;1;0;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;0;1;1;0;1;0;1;1;1;1;0;0;0;0;1;0;1;1;1;0;0;0;1;0;1;1;1;0;1;1;1;0;0;0;1;
604239008;;1;0;0;1;0;1;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;1;0;0;0;1;0;1;0;1;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;1;0;1;1;0;1;0;1;0;0;0;0;0;0;1;0;0;
604239009;;0;0;1;0;1;0;1;1;0;0;0;0;1;0;0;0;1;1;0;1;1;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1;1;0;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;0;0;1;
604239010;;1;0;0;1;0;1;0;1;1;1;1;1;0;0;0;1;0;0;0;0;1;1;1;1;1;0;1;1;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;1;0;0;0;1;1;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;1;1;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;1;1;0;1;0;0;1;0;0;0;0;1;
604239011;;0;1;0;0;1;0;0;0;1;1;1;0;0;0;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;1;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;1;1;1;1;0;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;1;0;
604239012;;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;0;1;1;0;0;0;1;1;0;1;0;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;1;0;1;0;1;0;0;1;0;0;1;0;0;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;1;0;
604239013;;0;0;1;0;1;0;0;1;0;1;1;1;1;1;0;0;1;1;0;1;0;1;1;1;1;1;0;1;1;0;0;0;1;1;0;1;0;0;1;1;1;1;1;0;1;0;0;1;1;0;1;1;1;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;1;1;0;1;0;1;1;1;0;1;0;1;1;1;1;1;0;0;1;1;0;0;0;1;1;1;1;0;1;0;0;0;
604239014;;0;1;1;0;1;0;0;1;1;0;1;1;1;0;1;1;0;1;1;0;1;0;1;0;0;0;0;1;0;1;1;1;1;0;0;0;1;1;1;0;1;0;0;1;1;1;1;0;1;1;0;0;0;0;0;1;1;1;1;1;1;0;0;0;1;1;0;1;1;1;0;0;0;1;0;0;1;1;0;0;1;0;1;0;1;1;1;1;0;0;1;0;0;1;1;1;0;0;0;1;
604239015;;0;1;0;1;1;1;0;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;1;0;1;1;0;0;1;1;1;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;1;0;1;1;1;1;0;1;1;1;0;0;1;0;0;1;1;1;1;0;0;1;1;1;0;0;
604239016;;1;1;1;1;0;1;1;0;0;0;1;0;0;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;0;0;1;1;0;1;0;1;0;1;0;0;0;0;1;0;0;0;1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;0;1;1;1;1;0;1;0;1;1;0;1;0;1;1;1;0;1;0;0;1;1;0;1;1;0;1;1;1;1;0;0;1;1;1;1;
604239017;;1;0;0;1;1;1;1;0;1;1;1;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;1;1;1;1;1;0;0;1;0;1;1;1;1;1;0;1;1;1;0;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;1;1;
604239018;;1;1;0;0;0;1;1;0;1;1;0;0;0;0;1;1;1;0;1;1;0;1;1;0;0;1;1;0;1;0;1;1;1;1;1;1;0;1;0;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;0;1;1;0;1;1;1;1;1;0;1;0;1;1;1;0;1;0;
604239019;;1;0;1;1;0;0;1;1;0;1;0;1;1;1;0;1;1;1;0;1;1;1;0;1;1;1;1;1;0;1;0;1;0;1;1;1;1;1;0;1;0;0;1;1;0;0;1;1;1;0;1;0;1;1;0;1;1;0;0;1;1;1;0;1;1;1;1;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;1;1;1;1;0;0;1;1;0;1;0;1;1;1;0;1;1;1;
604239020;;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;
604239021;;0;0;1;1;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;1;1;1;1;1;0;0;0;0;0;0;1;0;1;0;1;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;1;0;0;0;1;0;0;1;1;0;0;1;0;0;
604239022;;0;1;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;
604239023;;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;
604239024;;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;
604239025;;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;1;0;1;1;0;0;0;1;1;0;1;0;0;0;1;0;1;0;1;1;0;1;0;0;0;0;1;0;0;0;
604239026;;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;
604239027;;0;1;0;0;1;1;1;1;1;1;1;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;1;0;1;0;1;0;1;1;1;0;0;0;0;1;1;1;1;0;1;1;0;1;0;1;1;0;1;0;1;0;1;0;1;1;0;1;1;0;0;1;0;0;1;0;1;1;0;0;1;0;1;1;0;0;0;1;0;1;0;1;1;1;1;1;1;0;1;0;1;1;0;1;0;
604239028;;1;1;0;1;0;1;0;0;0;1;1;1;1;1;0;1;1;0;0;1;0;1;1;0;0;1;1;0;0;0;1;0;1;1;0;0;0;0;1;1;1;0;0;0;0;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;0;1;0;1;1;0;1;1;1;1;1;0;0;0;0;0;1;1;1;0;0;1;1;1;0;1;1;0;1;0;0;1;0;1;1;0;0;0;0;1;
604239029;;1;0;1;1;1;1;0;0;1;0;1;1;1;1;1;1;0;0;1;0;1;0;1;0;0;1;0;1;1;0;0;1;1;1;0;1;1;1;0;1;1;1;0;0;1;0;1;0;1;1;0;0;0;1;1;0;0;1;1;1;0;1;0;1;1;1;0;0;1;1;1;0;1;1;1;0;1;0;0;1;1;0;0;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;0;1;
604239030;;1;0;0;1;0;1;0;1;0;1;1;0;1;0;0;1;1;1;1;0;1;1;0;1;1;0;0;1;0;1;1;0;0;1;1;1;1;1;1;1;0;0;1;1;1;0;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;1;0;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;0;1;1;0;0;1;1;0;0;1;1;1;1;0;
604239031;;1;0;1;1;1;0;1;1;0;0;0;1;0;0;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;0;0;1;1;0;0;1;1;0;1;0;0;0;0;1;1;1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;1;1;1;0;1;0;0;1;0;0;0;1;1;1;1;1;1;1;0;1;0;1;1;1;0;1;1;1;0;1;1;1;0;1;1;0;0;1;1;1;
604239032;;0;1;1;0;1;0;1;0;1;1;0;0;0;1;0;0;1;1;0;1;1;0;1;1;1;1;0;0;1;1;1;0;1;0;1;0;1;1;0;0;1;1;1;1;1;1;0;1;0;1;0;1;1;0;1;0;1;0;1;1;1;1;1;0;0;1;1;1;1;0;1;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;1;1;1;
604239033;;0;1;1;0;0;0;1;1;1;0;0;1;1;1;1;0;0;0;1;1;0;1;0;1;1;1;1;0;1;1;1;1;0;0;1;0;0;1;1;1;0;1;1;0;0;0;0;0;0;1;1;0;0;1;1;1;1;1;0;0;1;0;1;0;0;1;0;1;1;0;1;0;0;0;1;1;1;0;1;1;1;1;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;
604239034;;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
604239035;;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;1;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;
604239036;;0;0;0;1;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;1;1;0;0;0;0;1;1;1;0;0;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;
604239037;;1;0;0;0;1;0;1;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;1;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;1;0;0;1;1;0;1;0;0;0;0;0;1;1;
604239038;;0;1;0;1;1;0;0;0;1;0;1;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;1;0;0;0;1;0;0;1;0;1;0;1;1;0;1;0;0;1;0;1;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;
604239039;;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;1;0;0;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0;0;0;1;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;1;1;1;0;0;0;0;1;0;0;1;0;0;0;1;1;0;0;1;0;1;0;1;1;1;0;0;
604239040;;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;1;0;1;0;0;1;0;1;0;0;1;1;1;1;1;1;0;0;0;
604239041;;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;1;1;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;1;
604239042;;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;1;1;1;0;0;1;0;0;1;1;0;1;1;0;0;0;0;1;0;0;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;1;1;
604239043;;0;0;1;1;0;0;1;0;0;0;1;1;0;1;1;0;0;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;1;1;0;0;
604239044;;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;1;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;
604239045;;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;1;1;1;1;1;0;1;
604239046;;0;0;1;1;0;0;1;0;1;1;0;0;1;0;0;0;1;0;1;1;1;0;1;0;1;0;0;0;1;1;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;
604239047;;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;1;1;0;0;1;0;1;1;0;0;0;1;0;1;0;0;0;
604239048;;1;0;0;1;0;0;0;1;0;1;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;1;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;0;1;1;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;
604239049;;0;1;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;1;1;0;1;0;0;1;0;0;0;0;0;1;0;1;1;1;0;0;1;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;1;0;
604239050;;1;0;0;1;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;1;1;1;1;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;1;1;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;1;1;0;1;1;0;1;0;0;0;0;0;0;
604239051;;1;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;1;1;0;1;0;0;1;0;0;1;0;0;0;0;0;1;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;1;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;0;1;
604239052;;0;1;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;1;1;1;1;0;0;0;
604239053;;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;0;1;1;0;1;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1;0;0;1;0;0;1;
604239054;;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0;0;1;0;1;0;0;1;1;0;1;0;1;1;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;1;1;0;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;
604239055;;1;0;0;0;1;0;0;0;1;1;0;0;1;1;0;1;0;0;1;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;1;0;1;0;0;1;0;0;1;1;1;1;0;0;0;0;1;1;0;1;1;0;1;1;1;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;0;1;0;1;1;0;1;0;0;0;1;0;0;0;0;1;0;0;
604239056;;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;1;0;1;1;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;1;0;
604239057;;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;1;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;
